Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
3.603705811500549316e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.217000000000000171e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.702866077423095703e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.222999999999999687e+01,2.807999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.801887249946594238e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.232999999999999829e+01,2.798999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.901033234596252441e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.220000000000000284e+01,2.817999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.000147891044616699e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.235999999999999943e+01,2.807999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.099317479133605957e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.225999999999999801e+01,2.807999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.198402619361877441e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.232999999999999829e+01,2.801999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.297489643096923828e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.232999999999999829e+01,2.807999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.396631360054016113e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.246000000000000085e+01,2.807999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.495685720443725586e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.242999999999999972e+01,2.817999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
